Values ​​provided by the PEL method when applied to IVC, 
LIVE, CSIQ, MICT, VLC, TID2013, CIDIQ, and KADID10K datasets.

Database	Metric	PEL
IVC		    SROCC	  0.9438
IVC		    KROCC	  0.7899
IVC		    PLCC	  0.9513
IVC		    RMSE	  0.3796
LIVE		  SROCC	  0.9657
LIVE		  KROCC	  0.8374
LIVE		  PLCC	  0.9665
LIVE		  RMSE	  7.0276
CSIQ		  SROCC	  0.9627
CSIQ		  KROCC	  0.8264
CSIQ		  PLCC	  0.9672
CSIQ		  RMSE	  0.0669
MICT		  SROCC	  0.9536
MICT		  KROCC	  0.8154
MICT		  PLCC	  0.9572
MICT		  RMSE	  0.3319
VCL		    SROCC	  0.9483
VCL		    KROCC	  0.7935
VCL		    PLCC	  0.9518
VCL		    RMSE	  7.5579
TID2013		SROCC	  0.8796
TID2013		KROCC	  0.6981
TID2013		PLCC	  0.9020
TID2013		RMSE	  0.5357
CIDIQ		  SROCC	  0.8672
CIDIQ		  KROCC	  0.6901
CIDIQ		  PLCC	  0.8700
CIDIQ		  RMSE	  0.7404
KADID10K	SROCC	  0.8762
KADID10K	KROCC	  0.6908
KADID10K	PLCC	  0.8752
KADID10K	RMSE	  0.5238
